latitude,longitude,hour_of_day,day_of_week,nearby_alert_density,historical_alert_count,crowd_density,lighting_index,label
12.95110942174174,77.59719564644924,12,1,6,39,0.6524716468209475,0.807343900921251,1
13.022961256870358,77.55106627447343,5,0,4,31,0.3393799238037778,0.37856470527165625,1
12.91114606828198,77.64011082218992,2,3,7,31,1.0,0.4910578360579255,1
12.929472677282696,77.59553284324059,22,4,5,45,0.7442869848869536,0.25658317519987806,1
12.92347896720049,77.64933274525798,16,2,4,23,0.9566928240797961,0.8394824821717354,0
13.008086413187637,77.56111499386779,2,0,1,50,0.6602563040340415,0.387561824598276,1
12.958790198562893,77.56654618645194,14,4,6,24,0.5963528924037415,0.863519808528611,0
12.999382127458581,77.60119873646681,7,0,4,29,0.4711248509658801,0.8547661623557379,0
12.96687739816444,77.59325314694382,4,5,3,31,0.7950450068253883,0.2973767720635527,1
12.956912244852175,77.63275271940884,11,2,3,24,0.8995178710881863,0.7847113504021402,0
12.944901877369942,77.64892712258626,18,2,1,34,0.8082652043855121,0.9040782817340677,0
13.009567767496748,77.55333708590427,0,1,5,37,1.0,0.15425807249904147,1
13.003027721094936,77.56760020398126,8,1,0,45,0.626211388205736,0.6895682096987765,0
12.996190833330761,77.57172075879328,22,1,5,41,0.47582331072736583,0.2806225801248587,1
13.0207308806104,77.59982606399973,9,3,2,47,0.6514577726400923,0.7528381451387562,0
13.000083315123716,77.57805035426735,2,1,5,28,0.7608157681612702,0.5173358427727188,1
12.929066054243481,77.62802585242193,10,4,5,48,0.5474465518883201,0.8290180254332089,0
12.973693800597763,77.59060240825804,16,1,8,50,0.5913137855361884,0.8601728421865789,1
13.038731733659416,77.5682888592829,23,3,7,34,0.6427662792226191,0.2887957475088289,1
12.908392875839576,77.65059184171356,15,3,4,27,0.6987148518214512,0.8389075162846332,0
12.950597137861108,77.62457410701595,1,4,6,39,0.6269596315902547,0.4979427844720644,1
12.897336576775238,77.61660005457404,19,5,3,41,0.6421835003244502,0.5414181889213071,0
12.975945463164573,77.58330985668772,18,3,7,19,0.727181489531219,0.9225810838354604,0
13.036301656552174,77.55822469692328,15,5,3,47,0.7537300284617001,1.0,0
13.014573370489346,77.54125808007915,21,1,12,39,0.5009991655715644,0.5186060946437939,1
12.938612501570796,77.60949249383347,18,5,7,29,0.23274108707099017,0.6940190919461339,1
12.923991010623938,77.654468405513,5,2,3,33,0.3923546761827242,0.4646010359415631,0
13.00542094400977,77.56516801478865,10,4,4,52,0.6922083926360405,0.9017461901380636,0
12.930158743691933,77.63858823337112,12,3,1,50,0.45383580123932543,0.8528969711344419,0
12.919480467841373,77.57492486964198,11,6,3,46,0.6531101105287324,0.6799359176741613,0
12.929402487690503,77.63586622617932,15,1,4,39,0.5885510119450287,0.7150553458735796,0
12.975567623212529,77.59137294591262,16,3,2,26,0.6133891742486912,0.8093567929169405,0
12.956255658629388,77.5849711995422,2,1,3,21,0.6982708180019103,0.11279307295926697,1
12.919074363586306,77.62811919914841,13,4,5,30,0.8379989638857184,0.8216380667222049,0
12.977595131248156,77.55938349492376,0,0,3,36,0.596670652666742,0.2720295649485375,1
12.979414500521779,77.55212250160223,12,2,4,42,0.3915773957029959,0.864821293199614,0
13.01570646523934,77.58774495882344,10,0,7,34,0.662195579586408,0.924491648336812,1
13.00943320888473,77.57416035122696,4,2,3,41,0.7425906704047449,0.3715641845390156,1
12.990903409854575,77.58832115090505,23,3,5,26,0.14926793610831496,0.45791579692383766,1
12.936957352741615,77.60517629255855,6,2,2,33,0.4555343983039293,0.9650974262270571,0
12.979440218747316,77.56520284967786,1,2,2,30,0.6058476181631783,0.23398122616521583,1
13.01087674851275,77.57377785414135,8,1,6,34,0.5039399976551022,0.799848419662591,1
13.002969199611636,77.6015688192045,18,5,3,39,0.6268919869680486,0.8569011057959686,0
12.924583563437407,77.62856332953481,0,5,7,32,0.47518418803267193,0.5013280296463156,1
13.01588305231584,77.56694476787814,11,3,2,33,0.7874154821927984,0.7568554960724884,0
12.99576098040293,77.57380233454077,10,0,2,33,0.61027779060448,0.8222286427655151,0
12.921882445777591,77.62343314075507,20,0,9,26,0.2400456109935193,0.25276284321223885,1
13.013480196469002,77.58658087252148,0,4,4,40,0.7462775413072027,0.4158307561883354,1
13.009837088305899,77.58143466354824,0,6,3,27,0.7589804642902953,0.15094048617217354,1
12.976704169047792,77.5095835493178,13,6,4,41,0.5925329409073786,0.8524383031692361,0
13.027253565091275,77.58020484408857,4,2,4,25,0.23212544311606081,0.0,1
12.969716108492984,77.57453041180992,16,3,2,33,0.7803914626817154,0.9439853582604181,0
12.912981378095685,77.59606542517102,6,1,8,29,0.3955965722740191,0.8411846574500388,1
12.958975682287077,77.62073053179253,13,0,4,49,0.5277403217499914,0.8651133166709436,0
12.947713511431923,77.6327194221806,0,5,5,35,0.48516814855182455,0.27626234382018816,1
12.946309160161043,77.56178530779427,16,2,3,21,0.31209503244362685,0.8731083169037819,0
12.970743656805155,77.63859152834115,12,3,3,24,0.6012263466735398,0.9724274422208097,0
12.984775947367325,77.60986677695062,0,2,1,42,0.6405494363422147,0.1837310624123662,1
13.004596077687498,77.57023952392599,6,2,4,37,0.6226791878026535,0.8482203953181908,0
13.036604376112436,77.55194752739546,1,6,7,33,0.5581338207955238,0.18250256894340683,1
13.007985955676592,77.5497124399162,1,5,3,38,0.45100498261347244,0.41907135132011003,1
13.004238338497919,77.5898186426316,16,4,7,39,0.8938197091304412,0.7756210475071648,1
12.92199399767956,77.59427554627008,10,2,6,29,0.6370678345746624,0.8208590750656606,1
13.016437008786141,77.59058940921638,19,5,6,47,0.41290222917964836,0.0996453309256809,1
12.94473205934648,77.6211960168174,6,2,4,32,0.6880907883482239,0.9077540024791595,0
12.971893602797795,77.59268331000715,17,3,2,39,0.6728851822391639,0.8436588771689059,0
12.989000272922647,77.53513824589173,14,1,7,38,0.7230671564324406,0.8852120673809016,1
12.937798597083322,77.62156566739742,15,4,2,36,0.5935564946213276,0.6458556350992097,0
